"Receipt ID","Invoice ID","Payment Method","Client","Payment Date","Currency","Total"
"RCPT-28","INV-10027","bank_transfer","StudioRAO","Dec 18 2019","EUR","910.00"
"RCPT-27","INV-10028","check","WorkSTEPS Inc","Dec 16 2019","USD","750.00"
"RCPT-26","INV-10026","bank_transfer","Quotanda","Dec 13 2019","USD","3,000.00"
"RCPT-25","INV-10024","bank_transfer","StudioRAO","Nov 25 2019","EUR","3,750.00"
"RCPT-24","INV-10023","bank_transfer","Front Digital","Nov 08 2019","USD","1,237.50"
"RCPT-23","INV-10022","bank_transfer","StudioRAO","Nov 08 2019","EUR","487.50"
"RCPT-22","INV-10021","other","Careerscore","Oct 25 2019","USD","1,065.75"
"RCPT-21","INV-10018","bank_transfer","Front Digital","Oct 23 2019","USD","1,750.00"
"RCPT-19","INV-10020","bank_transfer","StudioRAO","Oct 21 2019","EUR","292.50"
"RCPT-18","INV-10019","bank_transfer","StudioRAO","Oct 09 2019","EUR","2,500.00"
"RCPT-20","INV-10015","check","Boteka Prefab","Oct 05 2019","USD","150.00"
"RCPT-17","INV-10017","other","Careerscore","Sep 30 2019","USD","578.81"
"RCPT-16","INV-10014","bank_transfer","StudioRAO","Sep 26 2019","EUR","2,000.00"
"RCPT-14","INV-10013","bank_transfer","StudioRAO","Sep 12 2019","EUR","455.00"
"RCPT-15","INV-10016","bank_transfer","Front Digital","Sep 11 2019","USD","750.00"
"RCPT-13","INV-10012","check","Boteka Prefab","Sep 04 2019","USD","150.00"
"RCPT-12","INV-10011","bank_transfer","StudioRAO","Sep 02 2019","EUR","2,000.00"
"RCPT-11","INV-10010","bank_transfer","StudioRAO","Aug 20 2019","EUR","422.50"
"RCPT-10","INV-10009","bank_transfer","StudioRAO","Jul 24 2019","EUR","2,000.00"
"RCPT-9","INV-10008","check","Boteka Prefab","Jun 29 2019","USD","150.00"
"RCPT-8","INV-10007","bank_transfer","StudioRAO","Jun 17 2019","EUR","2,730.00"
"RCPT-7","INV-10006","bank_transfer","StudioRAO","May 07 2019","EUR","3,120.00"
"RCPT-6","INV-10005","bank_transfer","StudioRAO","Apr 10 2019","EUR","1,182.50"
"RCPT-5","INV-10004","bank_transfer","StudioRAO","Mar 20 2019","EUR","302.50"
"RCPT-4","INV-10003","check","Boteka Prefab","Mar 18 2019","USD","300.00"
"RCPT-3","INV-10004","bank_transfer","StudioRAO","Feb 21 2019","EUR","440.00"
"RCPT-2","INV-10002","bank_transfer","StudioRAO","Feb 21 2019","EUR","660.00"
